Section,Type,Name,Tier,PriceCr,Perk,Description,Use,Attunement,Where To Find
Useful,,Grapple Launcher Pro,T4,44700,Swing 30 ft. as movement.,Forearm launcher with barbed head.,Action to fire; move on reel.,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Shock Nets x2,T4,48700,Restrain medium target (STR save).,Weighted electrified net.,Action to throw (20 ft.).,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Thermal Scope Clip,T4,52600,Reveal hidden in smoke/dark this scene.,Clip-on thermal.,Bonus action to toggle.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Voice Scrambler Larynx-tab,T4,56600,Resist voice ID checks.,Skin-tab modulates timbre.,Bonus action to arm (10 min).,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Chemseal Poncho,T4,60500,Ignore poison terrain 10 min.,Sealed slicker with filters.,Action to don; passive 10 min.,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Kinetic Dampers Anklets,T4,64500,Reduce fall damage by 20.,Ankle damper pads.,Reaction when falling.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Quick-Charge Cell,T4,68400,Refresh one utility mid-scene.,High-discharge battery puck.,Bonus action to slot.,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Field Lab Kit,T4,72400,Identify unknown sample in 5 min.,Portable assay bench.,5 min to test; expendables limited.,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Bribe Envelope City,T4,76300,One favor from minor official.,Discrete contact envelope.,Hand-off to target.,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Media Spin Voucher,T4,80300,Reroll one Public Trust check.,Agency favor marker.,Present to handler.,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Courier Drone Hire,T4,84200,Deliver item across city in 15 min.,Courier contract token.,Action to summon courier.,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Hardcase Satchel,T4,88200,Contents immune to shatter/water.,Polymer armored satchel.,Passive while used.,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Reflex Stim Pack,T4,92100,+2 Initiative this encounter.,Dermal patch floods adrenaline.,Bonus action to apply (1 hr. cooldown).,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Adrenal Shot Twin,T4,96100,Gain 1 temp SP now and next round.,Dual-stage injector.,Bonus action to inject.,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Stealth Paint Spray,T4,100000,Lower detection DC for vehicle/suit.,Radar-absorbent aerosol.,Action to coat (10 min cure).,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Stasis Grenade,T3,125000,Freeze 10 ft. zone 1 round (DEX save).,Temporal gel burst.,Action to throw (30 ft.).,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Singularity Marble,T3,138200,Pull 15 ft.; prone on fail (STR save).,Pocket gravity sink.,Action to throw (30 ft.).,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Portable Shield Wall,T3,151300,Half-cover 3 rounds.,Folding carbon slab with anchors.,Action to deploy.,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Echo-Trace Jammer,T3,164500,Cannot be tracked for 1 hour.,Noise virus for comms/meta.,Action to arm.,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Neural Calm Tab,T3,177600,End Confused/Fear on self.,Lingual neurotab.,Bonus action to take.,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Triage Drone Buddy,T3,190800,Heal 1d6 to ally as reaction 1/scene.,Mini med-drone.,Action to deploy; reacts when ally hit.,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Remote Door Spike,T3,203900,Seal door 2 rounds; breach DC +5.,Hydraulic ram wedge.,Action to plant.,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Phase Key Fob,T3,217100,Pass thin wall once (5 ft.).,Micro-phase key.,Action to step through.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Kinetic Absorb Gel,T3,230300,Reduce next hit by 8.,Two-part impact gel.,Bonus action to apply.,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Target Beacon Tagger,T3,243400,Allies +1 to hit target this scene.,Laser micro-tag.,Bonus action to mark.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Reflex Loop Patch,T3,256600,+2 TC vs AoE for 1 minute.,Nerve loop patch.,Bonus action to apply.,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Hazard Antidote Kit,T3,269700,Resist poison or radiation 1 hour.,Neutralizer kit.,Action to apply.,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Survey Swarm Capsules,T3,282900,Map 300 ft. area quickly.,Self-flying pucks.,Action to release; 1 min map.,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Sling-Bike Day Rental,T3,296100,Fast escape; +10 ft. travel speed.,Scrip for city sling-bike.,Use at depot; lasts 1 day.,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Legal Retainer Basic,T3,309200,Advantage to avoid detention once.,Law office on retainer.,Present card at stop.,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Data Broker Token,T3,322400,One actionable lead in 24 hr.,Broker chip.,Cash in with broker.,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Power Sink Clamp,T3,335500,Drain 1 SP on hit (CON save).,Clamp with reverse flow.,Action to clamp in melee.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Resonance Tuning Fork,T3,348700,Cancel one sonic effect.,Counter-tone fork.,Reaction on hearing effect.,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Micro-Camo Cloaklet,T3,361800,1 round invisibility (ends on attack).,Adaptive fabric mantle.,Bonus action to fade.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Riot Foam Sprayer,T3,375000,10 ft. difficult terrain 2 rounds.,Expanding riot foam.,Action to spray.,None required.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Useful,,Mobile Med-Pod Hour,T2,400000,Restore 3d6 HP to one ally.,Rental field med-pod hour.,10 min setup; action to begin.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Useful,,Quantum Courier Contract,T2,442900,Secure off-world drop in 12 hr.,Quantum-address token.,File payload; auto-deliver.,None required.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Useful,,Blackline Secure ID,T2,485700,Pass two deep scans per week.,Forged identity packet.,Use at checkpoint.,None required.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Useful,,Aegis Field Projector,T2,528600,Allies in 10 ft. gain +1 TC 1 round.,Hip projector.,Bonus action to pulse.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Useful,,Recall Beacon Home,T2,571400,Return to safehouse (30 ft. circle).,Beacon keyed to home node.,Action to trigger; 3 round delay.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Useful,,Arc-EMP Mine x2,T2,614300,Shut down mechs 1 round (INT save).,Dual arc plates.,Action to plant/throw (20 ft.).,None required.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Useful,,Tactical Net Suite,T2,657100,Team shares Passive Perception.,Encrypted sync suite.,Action to initiate; lasts scene.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Useful,,Field Kitchen Rig,T2,700000,Camp grants +1 save next day to allies.,Portable galley.,1 hour to cook camp meal.,None required.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Useful,,Skyhook Extraction Ping,T2,742900,Evac to roof in 3 rounds.,Beacon for skyhook.,Action to ping.,None required.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Useful,,Ghost Account Credit,T2,785700,One purchase cannot be traced.,Blind credit escrow.,Use at purchase.,None required.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Useful,,Power Amplifier Spur,T2,828600,Next 3 SP ability add +1d4 effect.,Clip-on amplifier.,Bonus action to arm.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Useful,,Ion Fog Canister,T2,871400,Block optics/thermal 2 rounds.,Aerosol ion fog.,Action to throw (30 ft.).,None required.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Useful,,Smart Grapple Bolts,T2,914300,Pull medium target 10 ft. (STR save).,Guided grapple bolts.,Action to fire (crossbow/launcher).,None required.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Useful,,Portable Court Order,T2,957100,Lawful entry for 1 location.,Sealed warrant wafer.,Present to authority.,None required.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Useful,,Enviro-Pod Bubble,T2,1000000,Safe shelter in hazard 8 hours.,Inflatable life-pod.,10 min to inflate.,None required.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Useful,,Autodoc Suite Night,T1,1250000,Full heal & remove conditions overnight.,Clinical full-suite stay.,Use during long rest.,None required.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Useful,,Time-Slip Marker,T1,1409100,Revert your position to start of turn once.,Chrono seal fob.,Free when invoked (1/session).,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Useful,,Conclave Medallion,T1,1568200,One diplomatic audience this arc.,Inscribed authority token.,Present to Conclave envoy.,None required.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Useful,,O.M.N.I. Requisition Token,T1,1727300,Borrow 1 elite item 1 session.,Black-book token.,Redeem with O.M.N.I. quartermaster.,None required.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Useful,,Fleet Skimmer Charter,T1,1886400,Air insertion anywhere in city.,Flight charter voucher.,Schedule with dispatcher.,None required.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Useful,,Adaptive Cipher Seed,T1,2045500,Crack one ultra lock in 1 hour.,Self-mutating cipher.,1 hour focused check.,None required.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Useful,,Blackout Sat-Burst,T1,2204500,Disable district comms 1 round.,One-shot sat uplink jammer.,Action to fire.,None required.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Useful,,Justice Fund Grant,T1,2363600,Purchase at 30% discount once.,Grant chit.,Apply at checkout.,None required.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Useful,,Miracle Serum Vials,T1,2522700,Heal 6d6 HP; cleanse 2 conditions.,Two-part serum kit.,Action to inject; rare.,None required.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Useful,,Phoenix Charge,T1,2681800,"If downed, stand at 1 HP 1/session.",Chest filament.,Passive while installed.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Useful,,Tactical AI Lease,T1,2840900,+2 to one roll per scene for 3 scenes.,Temporary AI license.,Action to boot; lasts session.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Useful,,Warp-Tag Transponder,T1,3000000,Swap positions with ally once.,Twin-tag transponder.,Bonus action by either wearer.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Useful,,Chorus-Shard Key,T0,3750000,Negate one entire AoE once.,Keystone chorus crystal.,Reaction on seeing AoE.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Useful,,Chronal Favor Script,T0,4642900,"Act twice in one round, then fatigued.",Bound time contract.,Free at round start.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Useful,,Void-Seal Capsule,T0,5535700,Untargetable for 1 round.,Absolute null capsule.,Bonus action to seal.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Useful,,Destiny Bond Locket,T0,6428600,Redirect lethal hit to echo (no death).,Twin-soul locket.,Reaction on lethal hit.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Useful,,Perfect Mirror Die,T0,7321400,Treat any roll as 20 (1/session).,Flawless die.,Free on declaration.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Useful,,Starwarden Beacon,T0,8214300,Summon Conclave extraction.,Royal beacon.,Action to trigger.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Useful,,Law of Return Token,T0,9107100,One spent item refreshes instantly.,Paradox token.,Free when spending another item.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Useful,,Angels IOU,T0,10000000,"GM-approved miracle, once.",Bound promise.,"Free, narrative timing.",Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Gear,Armor,Street Mesh Mk I,T5,1200,+1 TC; reduce shove once/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Armor,KevLayer Suit Mk I,T5,2000,+1 TC; reduce shove once/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Armor,Shock-Pad Harness Mk I,T5,2800,+1 TC; reduce shove once/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Armor,Reflex Stitch Vest Mk I,T5,3600,+1 TC; reduce shove once/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Armor,Enviro-Matched Suit Mk I,T5,4400,+1 TC; reduce shove once/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Armor,Cryo-Lined Suit Mk I,T5,5200,+1 TC; reduce shove once/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Armor,K-Weave Cloak Mk I,T5,5900,+1 TC; reduce shove once/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Armor,Haztech Plating Mk I,T5,6700,+1 TC; reduce shove once/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Shield,Kinetic Bracer Mk I,T5,7500,+1 TC; pop 5 ft. cover 1 round.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Shield,Surge Buffer Mk I,T5,8300,+1 TC; pop 5 ft. cover 1 round.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Shield,Displacement Arc Shield Mk I,T5,9100,+1 TC; pop 5 ft. cover 1 round.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Shield,Titan Barrier Cuff Mk I,T5,9800,+1 TC; pop 5 ft. cover 1 round.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Weapon,Net Launcher Mk I,T5,10600,Damage 1d61d10; apply a minor another creature once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Weapon,Arc Bow Mk I,T5,11400,Damage 1d61d10; apply a minor another creature once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Weapon,Sonic Pistol Mk I,T5,12200,Damage 1d61d10; apply a minor another creature once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Weapon,Gauss Lance Mk I,T5,13000,Damage 1d61d10; apply a minor another creature once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Weapon,Grav-Axe Mk I,T5,13800,Damage 1d61d10; apply a minor another creature once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Weapon,Rail Pistol Mk I,T5,14500,Damage 1d61d10; apply a minor another creature once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Weapon,Cryo Lancer Mk I,T5,15300,Damage 1d61d10; apply a minor another creature once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Utility,Perception Sync Visor Mk I,T5,16100,+1 Initiative or +1 TC on round one.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Utility,Kinetic Assist Boots Mk I,T5,16900,+1 Initiative or +1 TC on round one.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Utility,Mirror-Gate Charm Mk I,T5,17700,+1 Initiative or +1 TC on round one.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Utility,Choir-Shard Focus Mk I,T5,18400,+1 Initiative or +1 TC on round one.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Utility,Time-Slip Marker Mk I,T5,19200,+1 Initiative or +1 TC on round one.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Utility,Combat Reflex Bead Mk I,T5,20000,+1 Initiative or +1 TC on round one.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Gear,Armor,Street Mesh Mk II,T4,25000,+2 TC; first elemental hit ˆ’3.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Armor,KevLayer Suit Mk II,T4,28900,+2 TC; first elemental hit ˆ’3.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
